cnames,MW,Pc,Tc,omega
H2,2.01600003242493,1214175,33.439701080322,-0.120090000331402
P1,16.0429000854492,4539355.17578125,190.699005126953,0.0114984000101686
P2,30.0699005126953,4782525.09765625,305.428009033203,0.0986000001430511
P3,44.0970001220703,4155335.15625,369.898010253906,0.152400001883507
P4,58.1234016418457,3695628.125,425.179992675781,0.199275001883507
P5,72.1502838134766,3267466.74804687,469.649993896484,0.248623996973038
5N5,70.1350021362305,4407625.1953125,511.600006103516,0.19200000166893
MBP6,86.1771621704102,3025455.76171875,499.980010986328,0.24753999710083
SBP6,86.1771621704102,2908935.49804687,497.5,0.278136998414993
NP6,86.1771621704102,2930295.1171875,507.898010253906,0.300700008869171
5N6,84.1619033813477,3688225.04882813,532.700012207031,0.238940000534058
A6,78.1100006103516,4823065.13671875,562.098022460938,0.215000003576279
6N6,84.1600036621094,3951675,553.200012207031,0.213300004601479
MBP7,100.204040527344,2806715.28320313,537.349975585938,0.292277008295059
SBP7,100.204040527344,2632434.52148437,530.369995117188,0.328184992074966
NP7,100.204040527344,2635455.02929688,540.158020019531,0.349790006875992
5N7,98.1881637573242,3343686.96289062,551,0.274260014295578
A7,92.1408004760742,3998715.0390625,591.799011230469,0.259600013494492
6N7,98.1890029907227,3374045.1171875,572.098022460938,0.232960000634193
MBP8,114.230918884277,2528684.27734375,563.400085449219,0.347203999757767
SBP8,114.230918884277,2383173.77929687,559.640014648438,0.376850008964539
NP8,114.230918884277,2395295.1171875,568.598022460938,0.401800006628037
5N8,112.215042114258,2898685.49804687,603,0.271890014410019
A8,106.16739654541,3439837.35351563,617.049926757813,0.325951009988785
6N8,112.215042114258,2837115.18554688,591.150085449219,0.232568994164467
IP9,128.257797241211,2239293.1640625,590.150024414063,0.41245898604393
NP9,128.257797241211,2198745.06835937,594.598022460938,0.445490002632141
5N9,126.241920471191,2705384.71679687,639.150085449219,0.259487986564636
A9,120.194282531738,3107506.0546875,631.150085449219,0.337727010250092
6N9,126.241920471191,2705384.71679687,639.150085449219,0.259487986564636
IP10,142.284683227539,2021582.2265625,618.450012207031,0.484223991632462
NP10,142.284683227539,2006225.04882812,617.598022460938,0.488480001688004
5N10,140.268798828125,2468684.03320312,667,0.274325996637344
A10,132.205276489258,2785435.00976562,660.549987792969,0.391663998365402
6N10,140.268798828125,2468684.03320312,667,0.274325996637344
H2O,18.015100479126,22018675,647.299011230469,0.34400001168251
H2S,34.0808982849121,8906465.0390625,373.600006103516,0.0810000002384186
